The following values were not passed to `accelerate launch` and had defaults used instead:
	`--num_machines` was set to a value of `1`
	`--mixed_precision` was set to a value of `'no'`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
Loading GSM8K dataset...
Loaded 64 train samples, 100 eval samples
Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
Meta seed: 42
Total GPUs: 1, Threads per GPU: 1
Using mixed precision: bf16
Population size: 30, Iterations: 100
Sigma: 0.005, Alpha: 0.001
Train samples: 64, Eval samples: 100
Expected evaluations per iteration: 30 (distributed across 1 GPUs)
Loading model Qwen/Qwen2.5-1.5B-Instruct...
Model loaded successfully
[BASELINE] train_acc=0.219 eval_acc=0.230
ES Training:   0%|                                                                                                                                                 | 0/100 [00:00<?, ?it/s]
[PARITY] PASS: first-layer call trace (A vs B) matches for 20 calls.
[ES] iter=000 Time: 409.5s | TRAIN: 0.242 | EVAL: 0.210 | Min: 0.203, Max: 0.281                                                                                                           
[ES] iter=001 Time: 410.4s | TRAIN: 0.240 | Min: 0.203, Max: 0.281                                                                                                                         
[ES] iter=002 Time: 410.2s | TRAIN: 0.243 | Min: 0.188, Max: 0.281                                                                                                                         
[ES] iter=003 Time: 409.6s | TRAIN: 0.239 | Min: 0.203, Max: 0.281                                                                                                                         
[ES] iter=004 Time: 409.1s | TRAIN: 0.239 | Min: 0.203, Max: 0.266                                                                                                                         
[ES] iter=005 Time: 409.3s | TRAIN: 0.237 | Min: 0.203, Max: 0.266                                                                                                                         
[ES] iter=006 Time: 411.8s | TRAIN: 0.236 | Min: 0.219, Max: 0.266                                                                                                                         
[ES] iter=007 Time: 413.2s | TRAIN: 0.238 | Min: 0.203, Max: 0.281                                                                                                                         
[ES] iter=008 Time: 412.6s | TRAIN: 0.244 | Min: 0.219, Max: 0.312                                                                                                                         
[ES] iter=009 Time: 413.1s | TRAIN: 0.249 | Min: 0.219, Max: 0.312                                                                                                                         
[ES] iter=010 Time: 413.3s | TRAIN: 0.241 | Min: 0.219, Max: 0.266                                                                                                                         
[ES] iter=011 Time: 412.8s | TRAIN: 0.240 | Min: 0.203, Max: 0.266                                                                                                                         
[ES] iter=012 Time: 410.4s | TRAIN: 0.241 | Min: 0.203, Max: 0.281                                                                                                                         
[ES] iter=013 Time: 407.2s | TRAIN: 0.241 | Min: 0.203, Max: 0.281                                                                                                                         
[ES] iter=014 Time: 405.3s | TRAIN: 0.239 | Min: 0.203, Max: 0.281                                                                                                                         
[ES] iter=015 Time: 408.8s | TRAIN: 0.235 | Min: 0.188, Max: 0.266                                                                                                                         
[ES] iter=016 Time: 412.3s | TRAIN: 0.239 | Min: 0.203, Max: 0.281                                                                                                                         
[ES] iter=017 Time: 412.6s | TRAIN: 0.239 | Min: 0.203, Max: 0.281                                                                                                                         
[ES] iter=018 Time: 412.6s | TRAIN: 0.241 | Min: 0.219, Max: 0.281                                                                                                                         
[ES] iter=019 Time: 412.1s | TRAIN: 0.244 | Min: 0.203, Max: 0.266                                                                                                                         
[ES] iter=020 Time: 409.3s | TRAIN: 0.238 | EVAL: 0.210 | Min: 0.203, Max: 0.266                                                                                                           
[ES] iter=021 Time: 407.7s | TRAIN: 0.242 | Min: 0.203, Max: 0.266                                                                                                                         
[ES] iter=022 Time: 404.7s | TRAIN: 0.240 | Min: 0.219, Max: 0.281                                                                                                                         
[ES] iter=023 Time: 403.2s | TRAIN: 0.232 | Min: 0.188, Max: 0.250                                                                                                                         
[ES] iter=024 Time: 401.0s | TRAIN: 0.235 | Min: 0.203, Max: 0.297                                                                                                                         
